Data_Percentage,Num_Files,Best_Train_Loss,Best_Val_Loss
10.0,14,0.006584492201606433,0.04088762650887171
20.0,28,0.004624177701771259,0.01314401626586914
30.0,42,0.002923851108385457,0.007020231957236926
40.0,56,0.00394412805326283,0.004723966121673584
50.0,71,0.002181407498816649,0.0031677319978674254
60.0,85,0.0018946582373852528,0.003199181519448757
70.0,99,0.002466437118571429,0.0033070938661694527
80.0,113,0.0020114898215979338,0.002816852182149887
90.0,127,0.0024357996686982615,0.0027111098170280457
100.0,142,0.00192609087874492,0.002386587051053842
